step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
220.0,333,7,122,252,585,0,1794.0,5.387387387387387,4.7044043623724034,6,206.0,0.3041428059052273,4,50.0,0.6621883194499596,0,18.0,0.5132909649038431,0,0.0,0.5825512593832892,28,907.0,0.18298900865393664,2,511.0,0.1890354688996717,3,84.0,0.6712319407368684,5,66.0,0.0,20,563.0,0.1752690570538004,0,0.0,0.9582663188906491,13,1316.0,0.15057454994317065,14,432.0,0.24843388591080934,8,83.0,0.1908894512672385,1,16.0,0.692847875442186,8,439.0,0.24736017509422287,10,289.0,0.27079414440441596,122,4980.0
230.0,336,7,150,273,609,0,2580.0,7.678571428571429,4.7668973297256825,8,250.0,0.26591558447206104,2,22.0,0.5897894797378663,1,21.0,0.48908971493283254,0,2.0,0.9048932074768691,31,1191.0,0.21384119350425454,8,566.0,0.28195685155875355,5,109.0,0.5532377302201434,0,3.0,0.8914817260106176,22,792.0,0.23380334528098567,3,9.0,0.5170783647366964,21,1475.0,0.1846749806748126,17,595.0,0.1680822670363557,2,3.0,0.674875162794736,0,18.0,0.8607478127071537,22,564.0,0.16938640529750254,8,310.0,0.2287918688728922,150,5930.0
240.0,354,6,213,280,634,0,4162.0,11.757062146892656,4.117245464778935,22,406.0,0.1655933429623312,2,19.0,0.5926441473573922,7,75.0,1.3418148779420952e-05,0,0.0,0.862118639107214,35,1516.0,0.11505319013816595,12,671.0,0.3997184756560186,9,188.0,0.3188935202817811,2,5.0,0.4407968111521464,30,1049.0,0.11293254039090178,0,0.0,0.9168732468094524,21,1172.0,0.1502784915385045,17,786.0,0.34316501508758585,6,39.0,0.1961575054389052,0,21.0,0.861281670652826,32,846.0,0.011649414424056094,18,448.0,0.2316889209698614,213,7241.0
250.0,351,16,212,305,656,0,5677.0,16.173789173789174,4.0380775105192255,28,661.0,0.1573527741106038,2,39.0,0.655006478869489,0,28.0,0.8170776640128345,3,35.0,0.5669584013341282,36,1874.0,0.0,12,787.0,0.3408081090997281,5,71.0,0.21765393108041461,0,18.0,0.7004980552974608,30,1349.0,0.11553097107247601,2,8.0,0.5514976702020389,15,1247.0,0.2143521652677277,24,972.0,0.18262871214901918,0,8.0,0.664750448582914,1,8.0,0.17770151074203228,36,1197.0,0.12596723703874002,18,628.0,0.175569279095611,212,8930.0
260.0,343,17,141,336,679,0,2977.0,8.67930029154519,4.444115510867924,17,599.0,0.2007704392843031,3,27.0,0.6861920257153896,1,29.0,0.7716790114023215,3,33.0,0.5562884290685507,22,1615.0,0.08403142864962218,12,925.0,0.33210838124869996,1,21.0,0.7293403954337663,2,28.0,0.48657015505284723,14,1134.0,0.1860746459559198,6,66.0,0.5337960909763725,20,1402.0,0.09111981559355034,11,702.0,0.11761197231534984,4,42.0,0.46183130570784514,0,1.0,0.4895968746220168,23,1057.0,0.19585041633286007,2,424.0,0.4399803204661643,141,8105.0
270.0,346,23,109,351,697,0,1194.0,3.4508670520231215,4.652690985536024,10,672.0,0.2005605757579831,2,22.0,0.5658537539300013,3,57.0,0.48628567024639996,6,81.0,0.2967683789476474,5,890.0,0.4322584408995587,18,1064.0,0.2746917235851718,0,0.0,0.5428463456114178,8,83.0,0.3576559277220635,9,1164.0,0.2052369451579892,1,21.0,0.4882801350797932,19,1115.0,0.19887422831917348,9,777.0,0.3670923600253258,0,17.0,0.6749150320081565,0,18.0,0.8269806839061782,12,1140.0,0.14403737038778197,7,417.0,0.26956643703507666,109,7538.0
280.0,366,27,147,359,725,0,1646.0,4.497267759562842,4.611920998777793,21,830.0,0.1534370503502953,3,18.0,0.500078226782058,9,127.0,0.22469381878904096,2,13.0,0.6303460199112344,7,917.0,0.35725609751078424,29,1300.0,0.15294136584486495,0,0.0,0.8701085540826714,0,20.0,0.42851608949309095,21,1325.0,0.21507845816338442,7,75.0,0.3969256839131137,11,1189.0,0.2189429277155546,9,447.0,0.18767435110487163,1,22.0,0.6000887110364791,0,5.0,0.8782553407186414,10,848.0,0.18584351032027568,17,565.0,0.22256442942249618,147,7701.0
290.0,377,23,164,376,753,0,2345.0,6.220159151193634,4.524652244733893,20,683.0,0.17752493328399835,7,86.0,0.4989747586458004,1,76.0,0.7342124669326553,0,18.0,0.8757753472554032,21,1083.0,0.18198555460421081,30,1600.0,0.0,0,0.0,0.9492296034993447,2,27.0,0.6938052454015529,31,1602.0,0.10923306463642779,7,145.0,0.34875155287887716,20,1337.0,0.07825419919546663,8,435.0,0.08291678689983069,1,19.0,0.5613332730663663,1,6.0,0.5828003260554261,7,836.0,0.26526732060761393,8,363.0,0.31952848917128523,164,8316.0
300.0,375,24,179,401,776,0,2159.0,5.757333333333333,4.094296371200903,12,828.0,0.1748365417346739,0,32.0,0.5371054599799159,2,45.0,0.48899874441029023,5,25.0,0.4359166285609981,34,1348.0,0.1505752649868654,14,1042.0,0.18884243761116185,3,39.0,0.6739414632378024,2,43.0,0.3139766261206205,19,1276.0,0.16221346891813848,3,51.0,0.6070034113772224,33,1622.0,0.13333133190277505,18,593.0,0.21064864447643702,2,11.0,0.2959342454823723,6,56.0,0.4749987743755929,20,979.0,0.12694611015160884,6,299.0,0.2261100285411357,179,8289.0
310.0,381,33,185,418,799,0,2657.0,6.973753280839895,4.239768889782977,22,984.0,0.14473809025265644,7,77.0,0.3918030919128537,3,27.0,0.4991268588153984,2,30.0,0.578771332191047,36,1705.0,0.07752554865364755,10,1139.0,0.18450129154206327,1,19.0,0.39644486166824816,2,81.0,0.635214511964288,10,1271.0,0.2507142359075048,3,50.0,0.4771663563589038,36,1977.0,0.11422183600600995,3,318.0,0.3824314188714035,0,27.0,0.8345907544792222,0,14.0,0.6698189933881641,34,1254.0,0.09668831173903422,16,420.0,0.00016352884750905965,185,9393.0
