step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.986310456588399,0,0.0,0.869730559606747,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,13.148794674684005,0,0.0,0.9650151147377999,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.09581420210444,0,0.0,0.9402662162938739,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.251001568487023,0,0.0,0.9514465521837924,0,0.0
75.0,14,0,2,0,14,0,11.0,0.7857142857142857,11.450474978312032,2,11.0,0.8301688203047075,2,11.0
90.0,16,0,1,0,16,0,21.0,1.3125,11.042483833381258,1,21.0,0.7963503264250179,1,21.0
105.0,27,0,4,0,27,0,73.0,2.7037037037037037,10.773765609871923,4,73.0,0.7742032208393204,4,73.0
120.0,30,0,6,0,30,0,137.0,4.566666666666666,10.283742373537041,6,137.0,0.7442459323531142,6,137.0
135.0,38,0,10,0,38,0,237.0,6.2368421052631575,9.87890642376882,10,237.0,0.6730011598205444,10,237.0
150.0,45,0,10,2,47,0,387.0,8.6,9.551053363437783,10,387.0,0.6649032592981171,10,387.0
165.0,56,0,15,2,58,0,516.0,9.214285714285714,9.005926082265686,15,516.0,0.6310867061663004,15,516.0
180.0,69,0,19,3,72,0,755.0,10.942028985507246,9.282739202093207,19,755.0,0.6288667708494747,19,755.0
195.0,82,0,24,5,87,0,986.0,12.024390243902438,9.005050539711128,24,986.0,0.6270717746774623,24,986.0
210.0,88,0,7,6,94,0,124.0,1.4090909090909092,10.379384694738972,7,204.0,0.7902479386141431,7,204.0
225.0,101,0,8,12,113,0,97.0,0.9603960396039604,11.718386727317297,8,172.0,0.8318264585225075,8,172.0
240.0,118,0,20,14,132,0,269.0,2.2796610169491527,11.004044559326738,20,344.0,0.7120631594195677,20,344.0
255.0,128,0,30,16,144,0,568.0,4.4375,10.022472780889338,30,644.0,0.6162908508173083,30,644.0
270.0,132,0,30,28,160,0,619.0,4.6893939393939394,9.285250872784589,30,620.0,0.611505353794944,30,620.0
285.0,136,0,8,45,181,0,94.0,0.6911764705882353,10.341582939805853,8,245.0,0.7475774765396217,8,245.0
300.0,146,0,37,52,198,0,403.0,2.76027397260274,9.510874246759329,37,552.0,0.5711488186764686,37,552.0
315.0,155,1,17,55,210,0,458.0,2.9548387096774196,10.160026985009189,17,559.0,0.6711149839472339,17,559.0
330.0,156,0,45,69,225,0,960.0,6.153846153846154,9.089768738246825,45,1061.0,0.5242306296970267,45,1061.0
345.0,166,1,34,85,251,0,748.0,4.506024096385542,9.057537984439112,34,893.0,0.5876799663679154,34,893.0
360.0,176,0,45,97,273,0,1347.0,7.653409090909091,9.77278423114327,45,1448.0,0.572480731846255,45,1448.0
375.0,182,0,12,110,292,0,289.0,1.5879120879120878,10.169385953516917,12,986.0,0.6803402094435118,12,986.0
390.0,192,0,58,119,311,0,800.0,4.166666666666667,9.173199029281564,58,1497.0,0.5295590730441295,58,1497.0
405.0,201,0,27,133,334,0,810.0,4.029850746268656,8.812298877205084,27,1304.0,0.5452354797023368,27,1304.0
420.0,196,0,76,155,351,0,1526.0,7.785714285714286,7.551757234583942,76,2003.0,0.41949658355591746,76,2003.0
435.0,213,1,61,169,382,0,1571.0,7.375586854460094,7.86473877052622,61,2227.0,0.5056700538764272,61,2227.0
450.0,242,1,70,177,419,0,2532.0,10.462809917355372,9.280826116131276,70,3012.0,0.5564933524951404,70,3012.0
465.0,255,0,80,190,445,0,3001.0,11.768627450980393,8.690051076325243,80,3563.0,0.5239190791652483,80,3563.0
480.0,286,0,105,199,485,0,4342.0,15.181818181818182,8.064507455491935,105,4906.0,0.4842600782319433,105,4906.0
495.0,293,1,78,219,512,0,1540.0,5.255972696245734,7.388700512752868,78,4551.0,0.46742736858011996,78,4551.0
510.0,294,1,57,245,539,0,1518.0,5.163265306122449,8.592984149424264,57,2634.0,0.5299887969200566,57,2634.0
525.0,315,0,112,250,565,0,2686.0,8.526984126984127,7.109511936062966,112,3746.0,0.3965544661917481,112,3746.0
540.0,339,0,114,256,595,0,3840.0,11.327433628318584,6.774390452843033,114,4799.0,0.379620782562925,114,4799.0
555.0,358,0,99,271,629,0,5058.0,14.128491620111731,8.385773833285596,99,5421.0,0.4796568442397116,99,5421.0
570.0,353,2,101,307,660,0,2334.0,6.611898016997167,7.338600885407157,101,5274.0,0.4146809446270825,101,5274.0
585.0,373,0,93,320,693,0,2513.0,6.737265415549598,8.623453452677921,93,4109.0,0.4758386973217091,93,4109.0
600.0,383,0,106,338,721,0,3960.0,10.339425587467362,9.127139858190509,106,4480.0,0.49259522176758685,106,4480.0
